Vila Isabel;Angurmê Culinária Afro-brasileira;Rua Visconde de Abaeté, 123 | Vila Isabel, Rio de Janeiro - RJ;Festinha de miúdos Empadão de fubá com recheio de miúdos de frango.
Tanque;Antônio’s Nordestino;Rua Ati, 365 | Tanque, Rio de Janeiro - RJ;Harmonia do Sertão Escondidinho de aipim com carne-seca desfiada, queijo coalho, feijão-de-corda, gratinado no forno. Acompanha: manteiga de garrafa e queijo
Santa Teresa;Armazém São Thiago;Rua Áurea, 26 | Santa Teresa, Rio de Janeiro - RJ;Croqueta Espetaculosa Croquetas de diferentes tipos de carne de porco: barriga de porco, pernil, blend de costelinhas e joelho de porco com geleia de bacon
N/D;Art Chopp;Rua Macembu, 63 Rio de Janeiro - RJ;Peitinho de Boi Defumado! Peito bovino defumado em lenha de macieira, acompanhado com chips de aipim frito e vinagrete.
Laranjeiras;Baixo Gago;Rua Gago Coutinho, 51 | Laranjeiras, Rio de Janeiro - RJ;Capitão do Mar Bacalhau em lascas coberto com molho branco com bacon.
N/D;Bar da Aurea;Rua Ari Barroso, 20 |  Rio de Janeiro - RJ;Pescaria Bolinhos de milho com recheio de mexilhão, empanados e fritos na farinha Panko, acompanhados de um creme de queijo gorgonzola.
Copacabana;Bar da Tati;Praça Serzedelo Correia, 15 | Copacabana, Rio de Janeiro - RJ;Carne de sol dos olhos verdes da Tati Paçoca de carne de sol com feijão-verde debulhado e queijo coalho.
Centro;Bar do Augusto;Avenida Mem de Sá, 72 | Centro, Rio de Janeiro - RJ;Fralda molhada Caldo de fraldinha desfiada com creme de batata e feijão-branco.
Grajaú;Bar do Canedo;Rua Barão de Mesquita, 916 | Grajaú, Rio de Janeiro - RJ;Camarão que acompanha bacalhau, acorda com bacon dentro da croqueta do Canedo! Croqueta cremosa de bacalhau feita com Catupiry original e com recheio de
N/D;Bar do David;Rua Ari Barroso, 66 | Rio de Janeiro - RJ;Conexão Creme de abóbora com frutos do mar, gorgonzola, lâminas de amêndoas, acompanhado de torrada de camarão e alho.
Barra da Tijuca;Bar do Elson;Alameda Dalton Barreto, 40 | Barra da Tijuca, Rio de Janeiro - RJ;A vida ao passar dos anos Bolo de carne com cobertura de cheddar.
